Row,Release,Update,File,Applied/Skipped/Already present/Not found,Lines changed (this branch),Anchors used,Rationale
27,5.0.0,"Show On Model product display.",snippets/product-card.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
28,5.0.0,"Quick size selection on product cards.",snippets/product-card.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
29,5.0.0,"Vertical orientation for product badges.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
30,5.0.0,"Announcement Bar marquee style.",sections/announcement-bar.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
31,5.0.0,"Sticky filter bar.",sections/main-collection.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
32,5.0.0,"Timeline section video support.",sections/timeline.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
33,5.0.0,"Header icon size setting.",sections/header.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
34,5.0.0,"Header localisation color setting.",sections/header.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
35,5.0.0,"Choose product card styles in Collection List.",sections/collection-list.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
36,5.0.0,"Promotion Image marquee over two rows.",snippets/promotion-card.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
37,5.0.0,"Subcollections in Collection Banner.",sections/main-collection-banner.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
38,5.0.0,"Discord & Line socials.",snippets/social-icons.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
39,5.0.0,"Social settings entries.",config/settings_schema.json,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
40,5.0.0,"Sold-out option not clickable.",snippets/product-variant-picker.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
41,5.0.0,"Custom Liquid in Custom Sections.",sections/custom-liquid.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
42,5.0.0,"SplitWords text issues.",assets/theme.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
43,5.0.0,"Article image ratio issue.",snippets/article-card.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
44,5.0.0,"CJK text-splitting.",assets/theme.css,Skipped (customised),N/A,"24","File is protected and change is integrated. Manual review of the full file diff is required."
45,5.0.0,"Video poster ratio on mobile.",sections/video.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
46,5.0.0,"Mobile countdown timers layout.",snippets/product-card.liquid,Skipped (customised),N/A,"24","File is protected and change is integrated. Manual review of the full file diff is required."
47,5.0.0,"Highlight text mobile shift.",snippets/highlighted-text.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
48,5.0.0,"Shop The Feed clickability.",sections/shop-the-feed.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
49,5.0.0,"Tabbed Mega Menu title color.",snippets/header-nav-mega.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
50,5.0.0,"Mega menu interaction bugs.",snippets/header-nav-mega.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
51,5.0.0,"URL sharing issues.",assets/theme.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
52,5.0.0,"Windows promo display issue.",snippets/header-nav-mega.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
53,4.3.0,"Accessibility (WCAG 2.1 AA).",sections/cart-drawer.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
54,4.3.0,"New Custom Section (theme+app/AI).",sections/custom-section.liquid,Applied,568,N/A,"New file added from vendor branch."
55,4.3.0,"Cart AJAX discount API.",assets/cart.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
56,4.3.0,"Logo as H1 on homepage.",snippets/header-logo.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
57,4.3.0,"Icon block links.",sections/multicolumn-with-icons.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
58,4.3.0,"Scrolling Text image link.",sections/scrolling-text.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
59,4.3.0,"Accordion mobile menu option.",sections/header.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
60,4.3.0,"Mobile menu overflow fix.",snippets/header-nav-drawer.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
61,4.3.0,"Line Item Properties + Popular Products",assets/cart.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
62,4.3.0,"Featured Product placeholder UI",sections/featured-product.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
63,4.3.0,"Product Bundle variant switch",assets/product-bundle.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
64,4.3.0,"Product Bundle horizontal scrollbar",assets/product-bundle.css,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
65,4.3.0,"Compact Bundle banner on mobile",sections/compact-product-bundle.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
66,4.3.0,"Product Information spacing",sections/main-product.liquid,Skipped (customised),N/A,"24","File is protected and change is integrated. Manual review of the full file diff is required."
67,4.3.0,"Sticky image scroll behaviour",assets/theme.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
68,4.3.0,"Mobile menu flicker",assets/theme.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
69,4.3.0,"Unavailable variant hides image",assets/theme.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
70,4.3.0,"Lazy-loaded first section & LCP",snippets/header-logo.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
71,4.2.1,"File structure realignment",(All Files),Skipped (informational),N/A,"N/A","This is a general note about file structure realignment and does not correspond to a specific file change."
72,4.2.0,"Shop the Feed button settings",sections/shop-the-feed.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
73,4.2.0,"Shop the Feed mobile video",sections/shop-the-feed.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
74,4.2.0,"New storefront languages",locales/,Skipped (customised),N/A,"24","Directory-level change. A list of new locale files in the vendor branch has been generated."
75,4.2.0,"Cookie banner styling",sections/cookie-banner.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
76,4.2.0,"Conditional settings support",config/settings_schema.json,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
77,4.2.0,"Redirect add-to-cart popular upgrades",assets/cart.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
78,4.2.0,"Scrolling Banners/Text glitch",sections/scrolling-banner.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
